recno,eval_dt,claimno,lossdate,indemnitypaid,indemnityincd,expensepaid,expenseincd,losspaid,lossincd,openclosed
1,12/31/2002,clm00003,5/22/2000,0,150000,12055.28,75000,12055.28,225000,Open
2,12/31/2002,clm00006,5/14/2002,0,1,1095,2000,1095,2001,Open
3,12/31/2002,clm00007,5/25/2001,0,0,681,681,681,681,Closed
4,12/31/2002,clm00008,5/17/2002,0,50000,1025.04,50000,1025.04,1.00E+05,Open
5,12/31/2002,clm00009,6/1/2001,0,15000,13017.12,55501.13,13017.12,70501.13,Open
6,12/31/2002,clm00012,11/12/2002,0,25000,0,25000,0,50000,Open
7,12/31/2002,clm00016,7/24/2002,0,250000,0,1.00E+05,0,350000,Open
8,12/31/2002,clm00017,6/11/2002,25069,25069,0,0,25069,25069,Closed
9,12/31/2002,clm00021,12/19/2002,0,1,0,25000,0,25001,Open
10,12/31/2002,clm00022,11/19/2001,30000,30100,11179.59,75000,41179.59,105100,Open
11,12/31/2002,clm00024,11/1/2001,65000,75000,3441.45,25000,68441.45,1.00E+05,Open
12,12/31/2002,clm00025,4/29/2002,21853.33,21854.33,3180.38,5000,25033.71,26854.33,Open
13,12/31/2002,clm00026,12/3/2001,0,25000,5722.31,25000,5722.31,50000,Open
14,12/31/2002,clm00027,1/22/2002,0,25000,0,1,0,25001,Open
15,12/31/2002,clm00030,4/2/2002,0,100,0,100,0,200,Open
16,12/31/2002,clm00032,12/3/2001,34943.59,34943.59,0,0,34943.59,34943.59,Closed
17,12/31/2002,clm00037,4/23/2002,0,25000,13850.45,15000,13850.45,40000,Open
18,12/31/2002,clm00041,7/3/2002,0,95000,3378.42,5000,3378.42,1.00E+05,Open
19,12/31/2002,clm00042,7/11/2001,0,550000,225056.43,242382.69,225056.43,792382.69,Open
20,12/31/2002,clm00044,1/29/2002,0,50000,5434.38,50000,5434.38,1.00E+05,Open
21,12/31/2002,clm00046,4/18/2002,0,1,0,15000,0,15001,Open
22,12/31/2002,clm00047,5/21/2002,0,1,3313.76,5000,3313.76,5001,Open
23,12/31/2002,clm00048,9/24/2002,0,150000,0,150000,0,3.00E+05,Open
24,12/31/2002,clm00050,11/18/2002,0,1,0,1,0,2,Open
25,12/31/2002,clm00051,6/17/2002,0,18000,0,1000,0,19000,Open
26,12/31/2002,clm00059,9/3/1999,25000,25000,27284.75,27284.75,52284.75,52284.75,Closed
27,12/31/2002,clm00064,8/29/2001,0,0,2829.43,2829.43,2829.43,2829.43,Closed
28,12/31/2002,clm00066,9/22/2000,0,0,394,394,394,394,Closed
29,12/31/2002,clm00079,10/7/2002,0,25000,1305,30000,1305,55000,Open
30,12/31/2002,clm00080,9/9/2002,0,2500,1102.5,10000,1102.5,12500,Open
31,12/31/2002,clm00081,2/25/2002,25000,25000,0,0,25000,25000,Closed
32,12/31/2002,clm00084,5/5/2000,0,0,2059.41,2059.41,2059.41,2059.41,Closed
33,12/31/2002,clm00085,11/16/2000,0,1,0,1,0,2,Open
34,12/31/2002,clm00087,12/19/2001,0,1,0,50001,0,50002,Open
35,12/31/2002,clm00089,7/19/1999,11176,11176,2008.6,2008.6,13184.6,13184.6,Closed
36,12/31/2002,clm00090,2/5/1999,0,0,16590.12,16590.12,16590.12,16590.12,Closed
37,12/31/2002,clm00091,1/24/2001,15000,15000,7780.24,7780.24,22780.24,22780.24,Closed
38,12/31/2002,clm00093,11/15/2002,0,75000,0,25000,0,1.00E+05,Open
39,12/31/2002,clm00095,2/1/2000,0,0,77483.79,77483.79,77483.79,77483.79,Closed
40,12/31/2002,clm00098,6/20/2001,4013,4013,4524.1,4524.1,8537.1,8537.1,Closed
41,12/31/2002,clm00100,11/12/2002,0,25000,1175.5,25000,1175.5,50000,Open
42,12/31/2002,clm00114,4/26/1999,0,1,278764.94,301486.89,278764.94,301487.89,Open
